Aachener Tafel e.V.,info@aachener-tafel.de,http://www.aachener-tafel.de
Aalener Tafel - Kocherladen e.V.,kocherladen@web.de,http://www.evangelische-kirchengemeinde-aalen.de/html/kocherladen_e_v_.html
Abensberger Tafel e.V.,rudolf.buchner@me.com,http://www.abensberg-tafel.de
Achentaler Tafel,diakonie-marquartstein@web.de,
Acherner Tafel,hoffmann@caritas-acher-renchtal.de,http://www.caritas-acher-renchtal.de/28582.html
Achimer Tafel e.V.,info@achimer-tafel.de,http://www.achimer-tafel.de
Ahauser Tafel,info@skf-ahaus-vreden.de,
Ahrensböker Tafel e. V.,info@ahrensboeker-tafel.de,
Ahrensburger Tafel e.V.,ahrensburgertafel@t-online.de,http://www.ahrensburger-tafel.de
Ahrweiler Tafel,info@caritas-ahrweiler.de,http://www.caritas-ahrweiler.de
Aichacher Tafel,britta.sprenger@caritas-aichach-friedberg.de,
Aischgründer Tafel,"isswas@t-online.de, el.hurt@gmx.de",
Albersdorfer Tafel,olaf.schulz1@yahoo.de,
Albstädter Tafel,tafel@caritas-schwarzwald-alb-donau.de,
Alfelder Tafel e. V.,info@alfelder-tafel.de,http://www.alfelder-tafel.de
Alsfelder Tafel e.V.,mail@tafel-alsfeld.de; mathias.koehl@tafel-alsfed.de,http://www.tafel-alsfeld.de
Altenkirchener Tafel,info@altenkirchener-tafel.de,http://www.altenkirchener-tafel.de
Altentreptower Tafel,geschaeftsleitung-tg@volkssolidaritaet-kv-demmin.de,
Alzeyer Tafel e.V.,info@alzeyer-tafel.de,http://www.alzeyer-tafel.de
Amberger Tafel e. V.,amberger-tafel@web.de,http://amberger-tafel.de
Angermünder Tafel,tafel-angermuende.nbrb@johanniter.de,http://www.johanniter.de/bb
Anklamer Tafel,info@sozialarbeit-vorpommern.de,http://www.sozialarbeit-vorpommern.de
Annaberg-Buchholzer Tafel,malteser-tafel-annaberg@web.de,http://www.malteser-annaberg.de
Ansbacher Tafel,info@diakonie-ansbach.de,http://www.diakonie-ansbach.de
Apoldaer Tafel,tafel.apolda@googlemail.com,http://www.diakonie-apolda.de
Arnsberger Tafel e. V.,gisela@cloer-wzb.de,http://www.arnsberger-tafel.de
Arnstädter Tafel e.V.,Arnstaedter-Tafel.e.v.@t-online.de,http://www.arnstaedter-tafel.de
Arnstorfer Tafel,arnstorfer.tafel@lindner-group.com,
Arterner Tafel,talisa-artern@t-online.de,
Arzberger Tafel,vorstand@awo-arzberg.de,
"Asbacher Tafel e.V,",bgrendel@rz-online.de,
Ascheberger Tafel e. V.,martin.hoerster@t-online.de,http://www.ascheberger-tafel.de
Aßlinger Tafel e. V.,Asslinger-Tafel@gmx.de,http://www.sozialforum-bayern.de/asslinger-tafel
Attendorner Tafel,evangelisch-attendorn@t-online.de,
Auer Tafel e. V.,s.rudolf@freenet.de,
Augsburger Tafel e.V.,info@augsburger-tafel.de,http://www.augsburger-tafel.de
Auricher Tafel,auricher.tafel@ewetel.net,http://www.diakonie-aurich.de
Backnanger Tafel,sowas@kinderundjugendhilfe-bk.de,http://www.sowas-bk.de
Bad Aiblinger Tafel,info@aiblinger-tafel.de,http://www.aiblinger-tafel.de
Bad Arolser Tafel,hoos-vermeil@ekkw.de,
Bad Berleburg-Erndtebrücker Tafel e. V.,thomas-doerr@diakonie-wittgenstein.de,http://www.bad-berleburg-erndtebrücker-tafel.de
Bad Bramstedter Tafel e. V.,info@badbramstedtertafel.de,http://www.badbramstedtertafel.de
Bad Cannstatter Tafel,mail@stuttgarter-tafel.de,http://www.schwaebische-tafel-stuttgart.de
Bad Dürkheimer Tafel e. V.,Bad-Duerkheimer-Tafel@gmx.de,
Bad Friedrichshaller Tafel,tafel@diakonie-heilbronn.de,http://www.diakonie-heilbronn.de
Bad Gandersheimer Tafel,tafel-badgan@gmx.de,
Bad Hersfelder Tafel,tafel-hef@web.de,http://www.tafel-hef.de
Bad Homburger Tafel,tafel@diakonie-htk.de,http://www.bad-homburger-tafel.de
Bad Honnefer Tafel,peter.sieler@awo-bonn-rhein-sieg.de,http://www.awo-bonn-rhein-sieg.de
Bad Kötztinger Tafel e. V.,marlies2002@t-online.de,
Bad Kreuznacher Tafel,bad-kreuznacher-tafel@treffpunkt-reling.de,http://www.treffpunkt-reling.de
Bad Langensalzaer Tafel,talisalgs@t-online.de,
Bad Liebenwerdaer Tafel,tafel-badliebenwerdaer@alv-brandenburg.de,http://www.badliebenwerda.de/alv
Bad Mergentheimer Tafel,bad-mergentheimer-tafel@diakonie-tbb.de,http://www.diakonie-tbb.de
Bad Münstereifeler Tafel e.V.,tafel-bam@gmx.de,
Bad Neustädter Tafel e.V.,sylvia-bieber@t-online.de,http://www.tafel-nes.de
Bad Oeynhausener Tafel,L.Wittkowski@diakonie-vlotho.de,http://www.diakonie-vlotho.de
Bad Pyrmonter Tafel e.V.,tafel-badpyrmont@kabelmail.de,
Bad Reichenhaller Tafel e. V.,tafel.reichenhall@mail-buero.de,
Bad Sachsaer Tafel e.V.,tafelbs@t-online.de,
Bad Säckinger Tafel,p.lohmann@caritas-hochrhein.de; e.schwarz@caritas-hochrhein.de,http://www.caritas-hochrhein.de/s_tafelladen.htm
Bad Salzufler Tafel e. V.,,http://www.badsalzufler-tafel.de
Bad Saulgauer Tafel,bad-saulgauer-tafel@kv-sigmaringen.de,http://www.kv-sigmaringen.drk.de
Bad Schönborner Tafel,tafelladen@caritas-bruchsal.de,http://www.caritas-bruchsal.de
Bad Schussenrieder Tafel,tafel-bad-schussenried@gmx.de,
Bad Schwalbacher-Taunussteiner Tafel,tafel@dwrt.de,http://www.dwrt.de
Bad Schwartauer Tafel,mwitt@t-online.de,
Bad Suderoder Tafel,harzertafel@awo-harz.de,
Bad Sülzer Tafel e. V.,,
Bad Uracher Tafel,Susanne.Schur@kirche-reutlingen.de,
Bad Vilbeler Tafel,vfse@gmx.de,http://www.bad-vilbel.de/nachbarschaftshilfe/
Bad Wildunger Tafel,info@bad-wildunger-tafel.de,http://www.bad-wildunger-tafel.de
Bad Wörishofer Tafel e. V.,tafel-westphal@web.de,http://www.bad-woerishofer-tafel.de
Bad Wurzacher Tafel,pfeffer.s@caritas-bodensee-oberschwaben.de,
Baden-Badener Tafel,tafel@caritas-baden-baden.de,http://www.caritas-baden-baden.de
